CO(GT),PT08.S5(O3),NO2(GT),PT08.S4(NO2),C6H6(GT)
-200.0,741.0,-200.0,1354.0,8.2
-200.0,483.0,-200.0,1162.0,4.5
-200.0,522.0,-200.0,1234.0,5.5
-200.0,718.0,-200.0,1320.0,8.7
-200.0,798.0,-200.0,1332.0,8.7
-200.0,1174.0,-200.0,1534.0,14.0
-200.0,891.0,-200.0,1417.0,9.5
-200.0,799.0,-200.0,1397.0,7.9
-200.0,855.0,-200.0,1377.0,6.2
-200.0,734.0,-200.0,1303.0,4.0
-200.0,691.0,-200.0,1284.0,4.4
-200.0,557.0,-200.0,1228.0,2.6
-200.0,523.0,-200.0,1259.0,2.7
-200.0,610.0,-200.0,1307.0,3.8
-200.0,574.0,-200.0,1309.0,3.6
-200.0,470.0,-200.0,1227.0,2.2
-200.0,434.0,-200.0,1179.0,1.7
-200.0,507.0,-200.0,1214.0,2.1
-200.0,467.0,-200.0,1171.0,2.3
-200.0,591.0,-200.0,1296.0,4.8
-200.0,717.0,-200.0,1315.0,5.6
-200.0,774.0,-200.0,1351.0,6.8
-200.0,697.0,-200.0,1302.0,6.2
-200.0,701.0,-200.0,1305.0,6.8
-200.0,752.0,-200.0,1478.0,11.1
-200.0,760.0,-200.0,1473.0,12.2
-200.0,505.0,-200.0,1179.0,4.7
-200.0,529.0,-200.0,1212.0,5.1
-200.0,832.0,-200.0,1495.0,12.7
-200.0,904.0,-200.0,1429.0,11.6
-200.0,1050.0,-200.0,1457.0,12.7
-200.0,1000.0,-200.0,1348.0,9.7
-200.0,911.0,-200.0,1361.0,7.8
-200.0,858.0,-200.0,1321.0,6.8
-200.0,903.0,-200.0,1344.0,8.1
-200.0,781.0,-200.0,1252.0,5.4
-200.0,714.0,-200.0,1247.0,4.4
-200.0,625.0,-200.0,1177.0,2.4
-200.0,568.0,-200.0,1158.0,1.6
-200.0,616.0,-200.0,1167.0,1.8
-200.0,710.0,-200.0,1207.0,3.1
-200.0,953.0,-200.0,1425.0,9.2
-200.0,1271.0,-200.0,1741.0,20.8
-200.0,1447.0,-200.0,1884.0,26.8
-200.0,1296.0,-200.0,1565.0,17.7
-200.0,1217.0,-200.0,1521.0,14.2
-200.0,1341.0,-200.0,1664.0,16.8
-200.0,1180.0,-200.0,1641.0,16.0
-200.0,1365.0,-200.0,1797.0,19.9
-200.0,1410.0,-200.0,1763.0,18.5
-200.0,1529.0,-200.0,1862.0,21.4
-200.0,1573.0,-200.0,1883.0,22.8
-200.0,1810.0,-200.0,2287.0,36.5
-200.0,1834.0,-200.0,2357.0,38.8
-200.0,1672.0,-200.0,2161.0,32.3
-200.0,1686.0,-200.0,2080.0,29.3
-200.0,1302.0,-200.0,1606.0,14.2
-200.0,1023.0,-200.0,1409.0,8.0
-200.0,992.0,-200.0,1380.0,7.4
-200.0,960.0,-200.0,1371.0,7.2
-200.0,955.0,-200.0,1414.0,8.0
-200.0,887.0,-200.0,1354.0,6.5
-200.0,851.0,-200.0,1303.0,5.2
-200.0,903.0,-200.0,1323.0,5.6
-200.0,954.0,-200.0,1383.0,7.0
-200.0,1107.0,-200.0,1528.0,11.5
-200.0,1442.0,-200.0,1852.0,21.7
-200.0,1818.0,-200.0,2316.0,37.9
-200.0,1802.0,-200.0,2074.0,30.1
-200.0,1671.0,-200.0,1894.0,24.5
-200.0,1710.0,-200.0,1911.0,25.2
-200.0,1746.0,-200.0,1945.0,26.5
-200.0,1495.0,-200.0,1760.0,19.6
-200.0,1203.0,-200.0,1596.0,13.4
-200.0,1252.0,-200.0,1682.0,15.3
-200.0,1528.0,-200.0,1671.0,15.1
-200.0,1629.0,-200.0,1887.0,21.1
-200.0,1608.0,-200.0,1976.0,23.6
-200.0,1664.0,-200.0,2017.0,25.7
-200.0,1666.0,-200.0,2098.0,27.2
-200.0,1594.0,-200.0,1985.0,24.4
-200.0,1421.0,-200.0,1851.0,20.3
-200.0,1337.0,-200.0,1671.0,14.8
-200.0,1270.0,-200.0,1628.0,12.8
-200.0,1156.0,-200.0,1520.0,10.0
-200.0,1124.0,-200.0,1509.0,9.3
-200.0,1049.0,-200.0,1519.0,9.3
-200.0,1044.0,-200.0,1508.0,8.8
-200.0,1109.0,-200.0,1544.0,10.2
-200.0,1224.0,-200.0,1659.0,13.1
-200.0,1611.0,-200.0,2043.0,26.1
-200.0,2004.0,-200.0,2376.0,37.9
-200.0,1776.0,-200.0,2036.0,26.2
-200.0,1723.0,-200.0,1965.0,23.1
-200.0,1916.0,-200.0,2027.0,26.0
-200.0,1955.0,-200.0,2093.0,28.1
-200.0,1894.0,-200.0,2094.0,28.0
-200.0,1823.0,-200.0,2015.0,24.6
-200.0,1793.0,-200.0,1924.0,22.4
4.7,1956.0,167.0,2307.0,30.9
8.0,2203.0,194.0,2595.0,43.7
7.7,2073.0,172.0,2474.0,40.0
6.8,1923.0,134.0,2378.0,35.9
6.0,1780.0,130.0,2170.0,30.1
4.7,1609.0,113.0,1944.0,22.3
3.4,1466.0,99.0,1820.0,17.7
3.9,1504.0,109.0,1877.0,19.5
4.4,1518.0,105.0,1957.0,22.3
3.3,1289.0,91.0,1765.0,15.4
2.0,1076.0,77.0,1570.0,9.3
1.5,947.0,-200.0,1453.0,6.0
-200.0,970.0,59.0,1473.0,6.6
0.8,900.0,60.0,1420.0,5.1
1.3,1034.0,72.0,1565.0,8.8
2.7,1235.0,83.0,1791.0,16.6
3.6,1455.0,104.0,2016.0,24.3
3.6,1478.0,119.0,1866.0,20.6
2.6,1393.0,105.0,1704.0,15.6
2.0,1237.0,91.0,1626.0,12.2
3.3,1373.0,103.0,1834.0,17.7
2.6,1310.0,-200.0,1736.0,14.8
2.1,1287.0,111.0,1733.0,15.0
2.9,1413.0,101.0,1807.0,16.7
3.0,1483.0,102.0,1864.0,17.7
3.2,1539.0,101.0,1933.0,20.9
4.4,1691.0,118.0,2166.0,28.7
6.0,1846.0,120.0,2403.0,34.8
5.0,1665.0,107.0,2160.0,27.5
4.3,1577.0,104.0,2085.0,24.9
4.3,1603.0,91.0,2048.0,24.2
4.2,1530.0,91.0,1964.0,22.2
2.2,1205.0,74.0,1655.0,13.2
1.3,999.0,63.0,1474.0,7.9
1.0,904.0,57.0,1423.0,5.9
0.7,843.0,-200.0,1355.0,4.1
-200.0,843.0,48.0,1392.0,4.6
0.9,886.0,49.0,1435.0,5.8
1.0,911.0,55.0,1435.0,6.5
2.8,1319.0,78.0,1912.0,19.5
4.1,1927.0,91.0,2158.0,28.0
2.9,1554.0,88.0,1830.0,18.7
2.7,1565.0,83.0,1787.0,18.3
2.1,1462.0,81.0,1704.0,14.3
2.4,1487.0,83.0,1781.0,16.5
3.8,1690.0,111.0,2007.0,22.9
3.7,1603.0,112.0,2033.0,22.3
3.7,1568.0,112.0,1996.0,22.0
5.5,1743.0,137.0,2127.0,27.7
5.4,2007.0,152.0,2176.0,29.8
8.4,2235.0,163.0,2486.0,40.0
6.8,1998.0,135.0,2339.0,35.1
4.5,1795.0,119.0,2020.0,25.5
2.5,1407.0,91.0,1657.0,13.7
1.6,1211.0,74.0,1502.0,9.7
1.7,1202.0,73.0,1509.0,9.8
1.7,1136.0,71.0,1518.0,10.1
1.1,946.0,57.0,1413.0,6.0
1.0,915.0,51.0,1418.0,6.0
0.8,864.0,-200.0,1374.0,4.6
-200.0,836.0,42.0,1341.0,4.0
0.7,842.0,43.0,1381.0,4.6
1.2,1002.0,52.0,1473.0,7.6
2.3,1165.0,65.0,1699.0,13.6
3.0,1294.0,69.0,1753.0,16.0
3.3,1475.0,91.0,1833.0,18.9
2.8,1436.0,92.0,1727.0,15.7
3.0,1465.0,102.0,1738.0,16.2
3.4,1583.0,118.0,1854.0,19.4
3.0,1432.0,111.0,1785.0,16.9
2.3,1270.0,101.0,1608.0,12.5
3.1,1354.0,119.0,1749.0,15.8
3.0,1318.0,115.0,1747.0,16.0
3.3,1351.0,120.0,1776.0,16.3
4.0,1530.0,115.0,1925.0,21.0
4.6,1615.0,118.0,2016.0,23.1
4.1,1415.0,117.0,1853.0,17.7
2.3,1219.0,96.0,1668.0,12.2
2.6,1307.0,89.0,1725.0,14.6
2.6,1297.0,84.0,1639.0,13.1
2.9,1321.0,97.0,1741.0,15.5
2.1,1133.0,68.0,1621.0,11.8
2.1,1124.0,66.0,1577.0,10.9
1.5,997.0,-200.0,1512.0,8.4
-200.0,952.0,51.0,1467.0,7.0
1.4,972.0,48.0,1503.0,8.6
1.2,965.0,47.0,1451.0,7.5
1.5,984.0,48.0,1481.0,8.1
0.9,880.0,45.0,1359.0,4.8
1.4,1001.0,59.0,1477.0,7.8
2.1,1137.0,84.0,1542.0,9.7
1.6,1023.0,72.0,1467.0,8.4
1.5,962.0,68.0,1431.0,7.6
1.1,825.0,52.0,1376.0,5.9
1.4,877.0,70.0,1421.0,7.4
2.0,1046.0,90.0,1537.0,10.1
2.0,1060.0,87.0,1533.0,9.7
2.5,1155.0,99.0,1631.0,11.8
4.3,1464.0,128.0,1874.0,20.3
5.2,2185.0,127.0,1971.0,24.3
3.4,1959.0,99.0,1716.0,15.6
1.3,1375.0,72.0,1439.0,7.3
1.2,1212.0,62.0,1450.0,7.1
1.7,1273.0,62.0,1517.0,9.0
1.7,1249.0,63.0,1516.0,8.9
1.4,1097.0,56.0,1474.0,7.2
0.9,933.0,44.0,1353.0,4.4
0.7,858.0,-200.0,1315.0,4.1
-200.0,870.0,37.0,1319.0,4.3
0.9,1013.0,48.0,1392.0,5.9
1.2,1087.0,59.0,1440.0,7.2
3.2,1566.0,77.0,1780.0,18.5
4.4,1631.0,88.0,1998.0,25.0
3.5,1564.0,111.0,1754.0,18.8
3.2,1601.0,114.0,1812.0,19.5
3.0,1539.0,108.0,1742.0,18.2
3.5,1577.0,111.0,1821.0,20.0
4.0,1732.0,126.0,1971.0,24.8
3.8,1672.0,117.0,1947.0,23.1
4.2,1744.0,119.0,2034.0,25.5
5.0,1845.0,125.0,2176.0,32.0
7.9,2164.0,158.0,2641.0,46.3
8.4,2106.0,149.0,2567.0,44.5
8.0,2007.0,136.0,2469.0,41.0
6.4,1791.0,112.0,2230.0,32.5
3.5,1444.0,87.0,1806.0,19.1
3.5,1373.0,82.0,1803.0,19.6
1.9,1110.0,67.0,1488.0,10.7
2.2,1099.0,68.0,1562.0,12.2
1.6,968.0,60.0,1401.0,8.0
1.0,847.0,48.0,1331.0,5.5
1.0,852.0,-200.0,1319.0,5.5
-200.0,799.0,42.0,1277.0,4.3
0.9,834.0,46.0,1355.0,5.9
1.4,956.0,54.0,1425.0,8.6
3.0,1259.0,82.0,1776.0,18.7
4.5,1494.0,93.0,1990.0,25.0
3.8,1458.0,95.0,1781.0,19.6
3.4,1491.0,120.0,1820.0,20.8
3.5,1560.0,132.0,1784.0,20.1
4.4,1750.0,146.0,2031.0,26.7
4.0,1709.0,157.0,1874.0,23.6
4.5,1786.0,158.0,2043.0,26.4
5.3,1900.0,175.0,2165.0,30.9
5.8,1963.0,166.0,2232.0,32.8
8.4,2161.0,187.0,2641.0,45.9
9.5,2372.0,180.0,2775.0,52.1
6.2,2062.0,134.0,2305.0,36.6
5.0,1736.0,127.0,1962.0,24.0
2.1,1192.0,95.0,1506.0,9.8
1.4,1043.0,79.0,1468.0,7.9
1.6,948.0,78.0,1495.0,7.5
2.0,992.0,80.0,1569.0,9.2
1.2,867.0,67.0,1435.0,5.7
0.8,825.0,61.0,1401.0,4.4
0.6,803.0,-200.0,1381.0,3.9
-200.0,786.0,51.0,1343.0,3.1
0.7,866.0,56.0,1416.0,5.1
1.7,1113.0,68.0,1606.0,10.5
3.4,1384.0,101.0,1983.0,20.6
4.9,1516.0,119.0,2119.0,28.5
2.7,1222.0,108.0,1652.0,12.7
3.2,1354.0,132.0,1734.0,16.1
2.7,1291.0,130.0,1666.0,14.9
3.2,1308.0,129.0,1739.0,16.8
4.1,1420.0,117.0,1923.0,21.8
3.6,1297.0,119.0,1842.0,18.6
2.8,1157.0,113.0,1675.0,14.5
2.1,1130.0,102.0,1649.0,13.4
2.4,1195.0,101.0,1711.0,15.8
3.6,1341.0,116.0,1874.0,20.7
2.6,1228.0,101.0,1732.0,16.6
2.8,1273.0,94.0,1685.0,15.3
1.4,1006.0,75.0,1442.0,8.0
1.1,898.0,69.0,1369.0,5.8
1.3,894.0,60.0,1388.0,7.0
0.9,789.0,58.0,1287.0,4.5
1.0,805.0,51.0,1329.0,5.2
0.9,770.0,45.0,1299.0,4.4
0.7,776.0,-200.0,1277.0,4.2
-200.0,744.0,41.0,1268.0,3.8
0.8,825.0,48.0,1327.0,5.2
1.6,1013.0,61.0,1506.0,10.0
3.4,1341.0,88.0,1829.0,20.0
4.4,1528.0,102.0,1969.0,25.8
3.5,1432.0,97.0,1752.0,20.0
3.4,1499.0,116.0,1780.0,20.6
2.4,1236.0,112.0,1532.0,12.2
2.3,1180.0,101.0,1580.0,13.1
2.6,1196.0,99.0,1640.0,14.5
2.9,1301.0,113.0,1731.0,17.5
4.4,1646.0,122.0,1991.0,25.9
5.0,1720.0,139.0,1977.0,26.6
6.5,1852.0,149.0,2271.0,35.3
5.9,1670.0,136.0,2092.0,28.2
2.7,1208.0,103.0,1602.0,14.2
2.5,1160.0,112.0,1562.0,12.4
1.5,937.0,88.0,1382.0,6.6
1.0,783.0,63.0,1327.0,4.8
1.2,807.0,69.0,1331.0,5.4
1.0,729.0,65.0,1326.0,4.3
0.8,612.0,50.0,1288.0,2.9
0.6,574.0,43.0,1286.0,2.5
0.6,579.0,-200.0,1276.0,2.2
-200.0,687.0,56.0,1308.0,2.7
1.1,856.0,69.0,1430.0,6.1
1.3,976.0,91.0,1469.0,7.7
2.9,1208.0,111.0,1769.0,15.9
3.7,1400.0,124.0,1945.0,22.8
3.0,1278.0,119.0,1746.0,16.6
1.4,934.0,77.0,1467.0,8.4
2.6,1073.0,101.0,1736.0,13.9
4.2,1363.0,116.0,2114.0,24.9
5.1,1346.0,137.0,1983.0,22.4
5.5,1393.0,163.0,2125.0,26.1
4.5,1255.0,144.0,1847.0,18.1
2.7,1213.0,118.0,1664.0,13.9
3.1,1332.0,135.0,1807.0,18.5
4.2,1430.0,129.0,1860.0,20.9
3.1,1102.0,128.0,1591.0,12.9
1.7,895.0,103.0,1375.0,6.7
1.8,905.0,116.0,1415.0,7.0
1.7,869.0,95.0,1410.0,7.3
2.1,982.0,107.0,1489.0,9.1
2.4,999.0,108.0,1520.0,9.9
1.8,881.0,94.0,1413.0,6.9
1.5,868.0,84.0,1400.0,6.5
1.4,843.0,-200.0,1383.0,5.9
-200.0,833.0,72.0,1372.0,5.4
1.0,825.0,76.0,1367.0,5.4
1.4,901.0,82.0,1453.0,7.8
2.4,1090.0,94.0,1662.0,13.6
3.1,1165.0,102.0,1723.0,15.4
3.0,1201.0,106.0,1675.0,14.4
2.7,1231.0,108.0,1656.0,14.3
4.0,1461.0,152.0,1845.0,20.3
3.7,1434.0,160.0,1826.0,18.7
3.4,1399.0,133.0,1806.0,17.3
3.4,1417.0,147.0,1781.0,16.9
3.2,1395.0,135.0,1777.0,16.4
3.9,1442.0,135.0,1869.0,19.1
3.7,1425.0,129.0,1850.0,18.7
4.3,1496.0,117.0,1968.0,22.4
4.9,1551.0,116.0,2015.0,25.3
4.0,1381.0,109.0,1785.0,17.7
2.8,1229.0,96.0,1658.0,13.8
2.4,1082.0,90.0,1539.0,10.2
1.9,963.0,82.0,1494.0,8.6
2.0,939.0,86.0,1492.0,7.9
1.5,825.0,72.0,1425.0,5.7
1.3,811.0,61.0,1445.0,6.4
1.0,720.0,-200.0,1386.0,4.6
-200.0,627.0,45.0,1320.0,2.7
0.5,589.0,37.0,1310.0,2.1
0.4,540.0,31.0,1295.0,1.2
0.4,551.0,30.0,1315.0,1.4
0.9,742.0,41.0,1477.0,4.6
1.3,824.0,64.0,1470.0,5.7
2.1,1059.0,74.0,1642.0,10.6
2.4,1144.0,77.0,1643.0,11.0
2.0,994.0,83.0,1585.0,8.6
1.8,1014.0,71.0,1595.0,8.8
1.5,924.0,62.0,1580.0,7.5
1.6,1023.0,62.0,1727.0,11.6
2.2,1033.0,79.0,1633.0,10.1
2.3,1065.0,93.0,1638.0,10.8
6.6,1516.0,106.0,2277.0,30.3
4.7,1648.0,100.0,1987.0,22.4
4.1,1466.0,89.0,1912.0,20.6
4.1,1365.0,83.0,1848.0,17.5
2.7,1247.0,76.0,1723.0,13.9
2.6,1183.0,68.0,1700.0,13.6
3.2,2150.0,69.0,1723.0,15.9
3.7,2519.0,77.0,1780.0,17.8
3.5,1925.0,68.0,1767.0,16.7
3.0,1762.0,-200.0,1756.0,16.0
-200.0,1579.0,52.0,1779.0,16.9
2.7,1599.0,49.0,1710.0,15.0
1.8,1395.0,45.0,1554.0,9.6
1.3,1323.0,51.0,1525.0,7.8
1.5,1309.0,51.0,1564.0,8.7
1.9,1441.0,62.0,1594.0,9.8
2.2,1830.0,74.0,1683.0,12.4
2.6,1704.0,88.0,1702.0,13.9
2.7,1576.0,90.0,1686.0,12.5
2.5,1305.0,91.0,1706.0,10.9
1.5,991.0,64.0,1562.0,6.5
2.0,1148.0,72.0,1636.0,9.4
3.1,1307.0,88.0,1810.0,15.3
3.7,1386.0,110.0,1811.0,16.4
4.0,1420.0,95.0,1942.0,19.8
4.1,1341.0,91.0,1746.0,15.8
3.1,1258.0,94.0,1750.0,14.5
3.2,1245.0,86.0,1733.0,14.7
3.2,1231.0,79.0,1755.0,15.3
2.7,1151.0,71.0,1674.0,13.0
2.3,1048.0,62.0,1586.0,10.5
1.6,928.0,56.0,1472.0,7.6
1.1,813.0,49.0,1374.0,4.8
0.7,753.0,-200.0,1334.0,3.1
-200.0,709.0,38.0,1306.0,2.6
0.6,721.0,35.0,1289.0,2.7
0.5,710.0,37.0,1294.0,3.0
1.5,951.0,56.0,1497.0,8.7
3.4,1336.0,85.0,1860.0,20.7
4.4,1489.0,112.0,1899.0,25.2
4.4,1558.0,107.0,1911.0,23.6
5.8,1944.0,151.0,2170.0,32.9
4.9,1782.0,151.0,1970.0,25.6
5.1,1921.0,150.0,2125.0,31.2
7.5,2039.0,190.0,2318.0,37.9
5.8,1912.0,168.0,2199.0,32.3
5.9,1827.0,127.0,2197.0,31.5
6.8,1919.0,140.0,2386.0,38.0
7.9,2013.0,158.0,2496.0,44.1
8.0,1919.0,121.0,2563.0,44.9
9.2,1927.0,119.0,2643.0,48.2
5.9,1573.0,96.0,2111.0,29.1
3.7,1325.0,77.0,1804.0,19.1
2.6,1203.0,66.0,1641.0,13.9
1.1,947.0,56.0,1381.0,6.8
2.6,1106.0,62.0,1620.0,13.2
2.2,1045.0,58.0,1542.0,10.7
0.9,827.0,-200.0,1328.0,4.1
-200.0,777.0,37.0,1271.0,2.9
0.5,748.0,35.0,1253.0,2.7
0.7,833.0,50.0,1290.0,4.3
1.3,960.0,64.0,1438.0,8.0
2.2,1157.0,75.0,1667.0,15.5
3.7,1444.0,101.0,1847.0,23.8
3.7,1522.0,94.0,1786.0,21.0
3.4,1452.0,95.0,1767.0,19.3
3.4,1437.0,124.0,1771.0,19.7
2.6,1209.0,86.0,1632.0,13.2
2.5,1170.0,79.0,1638.0,13.0
2.5,1190.0,87.0,1642.0,12.9
2.7,1278.0,94.0,1699.0,15.1
3.2,1305.0,107.0,1703.0,16.3
3.7,1364.0,107.0,1853.0,20.5
4.6,1428.0,117.0,1959.0,24.4
3.3,1285.0,97.0,1807.0,18.7
2.4,1143.0,90.0,1597.0,12.7
2.8,1235.0,86.0,1714.0,15.6
2.7,1208.0,77.0,1641.0,14.2
1.8,1041.0,66.0,1489.0,9.9
1.1,897.0,57.0,1382.0,6.3
1.2,862.0,55.0,1362.0,5.2
0.8,816.0,-200.0,1315.0,4.2
0.6,747.0,40.0,1239.0,2.9
0.5,727.0,40.0,1218.0,2.6
0.7,799.0,46.0,1270.0,4.7
0.8,807.0,53.0,1272.0,5.1
3.5,1324.0,84.0,1833.0,22.2
3.6,1404.0,88.0,1833.0,23.3
-200.0,1605.0,143.0,1948.0,26.3
-200.0,1478.0,130.0,1755.0,19.7
-200.0,1414.0,120.0,1720.0,17.4
-200.0,1465.0,139.0,1786.0,20.2
-200.0,1588.0,139.0,1896.0,24.4
-200.0,1651.0,156.0,1900.0,24.5
-200.0,1652.0,143.0,1975.0,24.8
-200.0,2110.0,186.0,2603.0,45.9
8.7,2204.0,171.0,2609.0,47.5
5.8,1780.0,124.0,2216.0,33.0
4.3,1590.0,97.0,2011.0,27.2
3.6,1419.0,92.0,1856.0,21.8
3.9,1415.0,96.0,1855.0,21.3
2.4,1180.0,74.0,1599.0,13.3
1.6,1015.0,65.0,1481.0,8.8
1.8,1014.0,62.0,1467.0,9.2
1.5,938.0,59.0,1430.0,7.6
0.7,777.0,-200.0,1249.0,3.6
0.5,723.0,41.0,1204.0,2.8
0.4,702.0,38.0,1180.0,2.2
0.5,725.0,43.0,1192.0,3.4
0.8,836.0,52.0,1257.0,5.7
2.0,1129.0,75.0,1575.0,16.3
6.2,1718.0,118.0,2252.0,37.9
4.5,1646.0,126.0,1878.0,25.5
4.6,1664.0,151.0,1889.0,24.2
3.3,1496.0,107.0,1799.0,20.9
3.6,1506.0,114.0,1823.0,22.1
4.4,1604.0,125.0,1932.0,25.0
4.3,1632.0,138.0,1935.0,26.4
5.0,1736.0,144.0,2016.0,29.8
8.1,2165.0,180.0,2483.0,45.0
8.0,2152.0,154.0,2457.0,42.8
3.6,1556.0,105.0,1815.0,22.4
2.9,1389.0,98.0,1619.0,15.9
2.7,1300.0,93.0,1599.0,14.3
1.9,1126.0,76.0,1474.0,10.7
1.3,982.0,69.0,1363.0,7.6
1.2,941.0,66.0,1362.0,6.7
1.8,1010.0,76.0,1395.0,9.0
1.9,985.0,73.0,1403.0,9.0
1.5,889.0,-200.0,1341.0,7.0
0.9,791.0,54.0,1248.0,4.3
0.5,710.0,44.0,1172.0,2.8
0.6,743.0,45.0,1198.0,3.7
1.1,857.0,58.0,1307.0,6.3
2.8,1143.0,87.0,1572.0,14.5
2.9,1210.0,97.0,1586.0,16.4
1.7,1060.0,80.0,1436.0,10.9
2.3,1252.0,82.0,1569.0,14.1
3.3,1435.0,112.0,1691.0,17.1
3.5,1544.0,121.0,1794.0,19.4
3.8,1600.0,132.0,1794.0,20.9
3.4,1534.0,141.0,1672.0,17.7
3.8,1495.0,130.0,1768.0,19.8
3.6,1442.0,113.0,1739.0,19.5
3.5,1340.0,101.0,1674.0,17.0
2.8,1231.0,91.0,1563.0,14.6
2.5,1128.0,90.0,1484.0,12.0
3.1,1188.0,90.0,1526.0,13.3
1.8,998.0,83.0,1364.0,7.9
1.6,944.0,73.0,1359.0,7.9
1.9,928.0,80.0,1318.0,7.5
2.0,1037.0,87.0,1354.0,8.4
1.4,930.0,79.0,1305.0,6.9
1.2,803.0,-200.0,1210.0,4.6
-200.0,665.0,56.0,1151.0,3.8
0.7,533.0,42.0,1044.0,2.1
0.4,449.0,31.0,1004.0,1.5
0.4,440.0,35.0,997.0,1.2
0.5,453.0,51.0,967.0,1.6
0.7,465.0,58.0,963.0,1.9
0.7,457.0,57.0,966.0,2.0
0.7,475.0,63.0,1033.0,2.7
1.0,532.0,61.0,1046.0,3.6
1.0,526.0,34.0,1035.0,3.7
0.9,520.0,26.0,1044.0,3.9
0.9,500.0,28.0,1035.0,3.8
0.9,482.0,50.0,974.0,3.4
1.1,539.0,55.0,1030.0,4.0
3.2,943.0,84.0,1346.0,14.3
3.1,1016.0,140.0,1201.0,10.5
3.1,1063.0,138.0,1242.0,12.2
2.3,1034.0,127.0,1255.0,11.4
1.8,864.0,117.0,1155.0,7.3
0.8,500.0,57.0,1060.0,2.4
0.9,537.0,59.0,1091.0,2.7
0.8,524.0,62.0,1041.0,2.5
0.7,457.0,42.0,998.0,1.7
0.4,360.0,-200.0,918.0,0.5
0.2,333.0,13.0,895.0,0.3
0.2,339.0,18.0,903.0,0.4
0.3,358.0,26.0,917.0,0.6
0.7,494.0,72.0,984.0,2.1
1.7,828.0,131.0,1179.0,7.4
1.8,769.0,133.0,1111.0,5.9
1.5,714.0,116.0,1051.0,4.8
1.3,672.0,117.0,1046.0,4.5
1.2,671.0,103.0,1040.0,5.1
1.3,631.0,100.0,1027.0,6.0
1.8,805.0,105.0,1180.0,10.0
1.7,808.0,121.0,1139.0,7.8
2.2,964.0,132.0,1226.0,11.2
3.2,1188.0,156.0,1364.0,17.0
5.9,1571.0,183.0,1778.0,31.0
6.6,1580.0,-200.0,1744.0,28.9
-200.0,1426.0,-200.0,1574.0,23.1
-200.0,1239.0,-200.0,1297.0,13.7
-200.0,1064.0,-200.0,1129.0,8.0
-200.0,987.0,-200.0,1108.0,7.4
-200.0,873.0,-200.0,1049.0,4.9
-200.0,783.0,-200.0,1013.0,3.7
-200.0,719.0,-200.0,986.0,2.9
-200.0,660.0,-200.0,952.0,1.9
-200.0,613.0,-200.0,938.0,1.4
-200.0,627.0,-200.0,964.0,1.9
-200.0,697.0,-200.0,1003.0,3.2
-200.0,915.0,-200.0,1135.0,7.4
-200.0,1399.0,-200.0,1543.0,22.4
-200.0,1495.0,-200.0,1593.0,22.8
-200.0,1499.0,-200.0,1447.0,18.5
-200.0,1720.0,-200.0,1466.0,20.4
-200.0,1210.0,-200.0,1197.0,10.6
-200.0,1123.0,-200.0,1245.0,11.8
-200.0,1209.0,-200.0,1327.0,14.8
2.1,1144.0,-200.0,1270.0,13.1
1.5,847.0,-200.0,1083.0,7.5
1.6,923.0,-200.0,1201.0,8.1
3.5,1166.0,-200.0,1523.0,16.9
4.6,1280.0,-200.0,1605.0,19.9
4.7,1193.0,-200.0,1508.0,16.5
3.0,966.0,-200.0,1320.0,9.6
1.5,752.0,-200.0,1162.0,5.3
0.9,594.0,-200.0,1067.0,3.5
0.8,545.0,-200.0,1039.0,2.5
0.7,555.0,-200.0,1060.0,2.5
0.6,543.0,-200.0,1049.0,2.2
0.3,420.0,-200.0,950.0,0.8
0.2,373.0,29.0,925.0,0.5
0.2,363.0,26.0,942.0,0.5
0.3,411.0,39.0,990.0,0.9
0.5,496.0,72.0,1019.0,1.6
1.4,738.0,128.0,1172.0,5.8
2.0,910.0,149.0,1297.0,9.5
1.6,821.0,165.0,1213.0,6.7
1.3,740.0,150.0,1124.0,4.4
1.4,852.0,165.0,1213.0,6.8
1.9,895.0,175.0,1237.0,7.8
2.7,1019.0,145.0,1301.0,10.8
2.1,993.0,98.0,1283.0,9.8
2.4,1043.0,105.0,1325.0,11.3
2.7,1111.0,106.0,1333.0,12.3
2.5,1087.0,141.0,1334.0,12.6
3.7,1250.0,177.0,1467.0,17.0
4.6,1331.0,182.0,1636.0,21.4
3.9,1243.0,193.0,1461.0,15.3
2.2,1074.0,148.0,1298.0,9.9
2.7,1258.0,167.0,1394.0,13.4
2.6,1189.0,158.0,1314.0,11.2
2.1,1092.0,132.0,1271.0,9.4
1.4,996.0,97.0,1189.0,6.6
1.2,974.0,-200.0,1147.0,5.5
1.1,902.0,74.0,1151.0,5.4
1.1,859.0,68.0,1136.0,5.3
1.1,970.0,89.0,1153.0,6.1
1.5,1062.0,117.0,1244.0,8.1
3.1,1304.0,190.0,1580.0,17.3
6.8,1643.0,211.0,2032.0,32.3
5.4,1488.0,190.0,1709.0,24.1
4.5,1465.0,194.0,1631.0,21.0
3.0,1198.0,210.0,1415.0,12.7
2.8,1160.0,199.0,1450.0,13.6
3.9,1277.0,178.0,1614.0,18.0
3.4,1171.0,184.0,1493.0,14.3
3.2,1106.0,186.0,1449.0,13.7
2.8,1036.0,168.0,1361.0,11.2
3.9,1196.0,187.0,1546.0,16.5
3.5,1170.0,166.0,1534.0,16.1
4.7,1312.0,177.0,1671.0,20.6
